Edad (x),qx,dx
12,0.000396,396
13,0.000427,426.830908
14,0.00046,459.6214978
15,0.000495,494.3651861
16,0.000533,532.0529562
17,0.000575,573.6723994
18,0.000619,617.2157059
19,0.000667,664.665661
20,0.000718,715.0099433
21,0.000773,769.2281973
22,0.000833,828.2946642
23,0.000897,891.1901695
24,0.000966,958.8823697
25,0.001041,1032.331562
26,0.001121,1110.508156
27,0.001207,1194.362868
28,0.0013,1284.836498
29,0.0014,1381.871304
30,0.001508,1486.388942
31,0.001624,1598.312658
32,0.001749,1718.540043
33,0.001884,1847.951202
34,0.002029,1986.427252
35,0.002186,2135.790728
36,0.002354,2294.904358
37,0.002535,2465.542888
38,0.00273,2648.469101
39,0.00294,2844.410994
40,0.003166,3054.057591
41,0.00341,3279.015981
42,0.003672,3518.911559
43,0.003954,3775.240991
44,0.004258,4049.422277
45,0.004585,4341.837612
46,0.004938,4654.676501
47,0.005317,4987.18202
48,0.005725,5341.32182
49,0.006164,5717.977
50,0.006637,6118.800817
51,0.007145,6543.418706
52,0.007693,6994.94071
53,0.008282,7472.563022
54,0.008915,7977.079195
55,0.009597,8510.771962
56,0.01033,9072.891725
57,0.011119,9664.992969
58,0.011967,10286.44091
59,0.012879,10937.88715
60,0.01386,11619.43247
61,0.014914,12329.75366
62,0.016048,13069.39018
63,0.017265,13834.8643
64,0.018574,14626.82906
65,0.01998,15441.79518
66,0.02149,16276.97356
67,0.023111,17128.57558
68,0.024851,17992.50366
69,0.02672,18864.92851
70,0.028724,19737.92194
71,0.030874,20605.92271
72,0.03318,21461.28854
73,0.035651,22294.44953
74,0.0383,23097.13145
75,0.041136,23857.28108
76,0.044174,24565.33146
77,0.047424,25207.6827
78,0.050902,25773.2522
79,0.054619,26247.57465
80,0.058592,26618.93204
81,0.062834,26873.54112
82,0.067362,26999.87084
83,0.07219,26985.89723
84,0.077337,26822.92841
85,0.082817,26502.17204
86,0.088649,26019.07254
87,0.09485,25371.19835
88,0.101436,24559.31877
89,0.108424,23588.40857
90,0.115832,22467.77886
91,0.123677,21210.71558
92,0.131973,19834.2452
93,0.140737,18359.97612
94,0.149983,16812.48735
95,0.159723,15218.96101
96,0.16997,13608.56388
97,0.180733,12010.78157
98,0.19202,10454.5595
99,0.203837,8966.911904
100,1,35023.68796
