"id_entrenador","apellido_entrenador","nombre_entrenador","cargo"
1,"Whisenhunt","Ken","HC"
2,"Smith","Mike","HC"
3,"Harbaugh","John","HC"
4,"Jauron","Dick","HC"
5,"Fox","John","HC"
6,"Smith","Lovie","HC"
7,"Lewis","Marvin","HC"
8,"Crennel","Romeo","HC"
9,"Phillips","Wade","HC"
10,"Shanahan","Mike","HC"
11,"Marinelli","Rod","HC"
12,"McCarthy","Mike","HC"
13,"Kubiak","Gary","HC"
14,"Dungy","Tony","HC"
15,"Del Rio","Jack","HC"
16,"Edwards","Herman","HC"
17,"Sparano","Tony","HC"
18,"Childress","Brad","HC"
19,"Bellichick","Bill","HC"
20,"Payton","Sean","HC"
21,"Coughlin","Tom","HC"
22,"Mangini","Eric","HC"
23,"Kiffin","Lane","HC"
24,"Reid","Andy","HC"
25,"Tomlin","Mike","HC"
26,"Turner","Norv","HC"
27,"Nolan","Mike","HC"
28,"Holmgren","Mike","HC"
29,"Linehan","Scott","HC"
30,"Gruden","Jon","HC"
31,"Fisher","Jeff","HC"
32,"Zorn","Jim","HC"
33,"Cowher","Bill","HC"
34,"Parcells","Bill","HC"
35,"Shotenheimer","Martin","HC"
36,"Martinez","Cesar","HC"
37,"Borda","Enrique","HC"
38,"Moreno","Roberto","HC"
39,"Arredondo","Genaro","HC"
40,"Landeros","Federico","HC"
41,"Licea","Jacinto","HC"
42,"Ortiz","Hector","HC"
43,"Gonzalez","Frank","HC"
44,"Jamal","Adolfo","HC"
45,"Bravo","Fernando","HC"
46,"Rodero","Manuel","HC"
47,"Fernandez","Neri","HC"
48,"Lujan","Leonardo","HC"
49,"Rodriguez","Miguel","HC"
50,"Altamirano","Carlos","HC"
51,"Cuervo","Hector","HC"
52,"Vazquez","Carmelo","HC"
53,"Perez","Roberto","HC"
54,"Reyes","Edmundo","HC"
55,"Alonso","Arturo","HC"
56,"Delgadillo","Jesus","HC"
57,"Rivera","Hector","HC"
58,"Duk","Rafael","HC"
59,"Izquierdo","Jose Luis","HC"
60,"Garcia-Miravete","Diego","HC"
