"","id_equipo","record_g","record_p","record_e"
"1","WAS",9,7,0
"2","UVR",9,5,2
"3","UVM",11,4,1
"4","URM",6,10,0
"5","UNM",13,3,0
"6","UNL",8,8,0
"7","UMM",7,9,0
"8","UEM",7,9,0
"9","UDL",7,8,1
"10","UCH",9,7,0
"11","UAT",8,8,0
"12","UAS",8,8,0
"13","UAM",12,4,0
"14","UAG",9,7,0
"15","UAC",10,6,0
"16","TOL",7,9,0
"17","TEP",4,11,1
"18","TEN",10,6,0
"19","TB",9,7,0
"20","STL",3,13,0
"21","SF",5,11,0
"22","SEA",10,6,0
"23","SD",11,5,0
"24","PIT",10,6,0
"25","PHI",8,8,0
"26","OAK",4,12,0
"27","NYJ",4,12,0
"28","NYG",10,6,0
"29","NO",7,9,0
"30","NE",16,0,0
"31","MTY",5,10,1
"32","MIN",8,8,0
"33","MIA",1,15,0
"34","KC",4,12,0
"35","JAX",11,5,0
"36","ITQ",10,6,0
"37","IPN",12,4,0
"38","IND",13,3,0
"39","HOU",8,8,0
"40","GB",13,3,0
"41","DET",7,9,0
"42","DEN",7,9,0
"43","DAL",13,3,0
"44","CUM",9,7,0
"45","CLE",10,6,0
"46","CIN",7,9,0
"47","CHI",7,9,0
"48","CHA",3,13,0
"49","CGP",8,8,0
"50","CEM",4,12,0
"51","CCM",3,13,0
"52","CAR",7,9,0
"53","BUF",7,9,0
"54","BAL",5,11,0
"55","ATL",4,12,0
"56","ARI",8,8,0
